id	created_at	updated_at	strength_numerator	manufactured_medication_id	consumable_id
286	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	100	233	287
287	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	2	234	288
288	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	235	289
289	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	25	236	290
290	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	25	237	291
291	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	50	238	292
292	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	2	239	293
293	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	2.5	240	294
294	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	25	241	295
295	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	5	242	296
296	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	200	243	297
297	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	25	244	298
298	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	200	238	299
299	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	50	245	300
300	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	246	301
301	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	50	247	302
302	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	1	248	303
303	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	5	249	304
304	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	25	250	305
305	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	251	306
306	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	40	246	307
307	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	200	252	308
308	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	25	253	309
309	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	25	254	310
310	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	2	255	311
311	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	500	256	312
