id	medication_id	value	units	description
15b4b31c-db1f-468c-bfc9-9fb512704d4a	ea20968c-aea5-4bc2-8c28-ca06a04a0e43	1	TABLET	TABLET
038aa9df-d857-47bf-b1d6-bfdd290237d0	50f6d3fc-a988-495d-9a1d-0030031c1f93	1	TABLET	TABLET
b04c1fbe-6e0b-4e9d-a835-e3c0a299becb	733f4379-9896-4325-949c-410506b48655	1	TABLET	TABLET
7f6434b5-6932-4018-8f7c-a31b3dc59a49	586685bf-ff16-40c9-b747-6b7a3e80b6bd	1	ML	SOLUTION
5688e652-583a-4f88-98da-351b24cc593d	7e5d5820-7bbd-4c66-9d0a-7dfa9c0a23b6	1	TABLET	TABLET, COATED
81d5091b-faad-494c-84e5-863f1f58ce86	0da41e35-e8ad-4a16-a1e1-75f79d2ff69f	1	TABLET	TABLET
648f105f-f98a-4e82-b7b8-25910e00a1f6	3c36db44-e4a7-45a7-b5d6-61ff60898411	1	VIAL	POWDER/INJECTABLE
b2ace2a6-320d-462d-804d-90f619ece489	803fe015-e8b3-48fe-95c2-ed7862871ee0	1	TABLET	TABLET
3537a8b4-17e5-4607-9fb3-07a3afded66d	da668791-bea4-4b87-bc55-02c91a71f9d5	1	DOSE	SOLUTION/DROPS
926a8769-9ab1-48be-af60-b40afd660e80	b94a2b1b-2acb-4a45-85fb-518756d09b07	1	TABLET	TABLET, COATED
2c9a6ddf-5338-4177-9bde-70a5cb624cf5	cfdd639a-fa8e-4fd8-a587-11e766e88c34	1	TABLET	TABLET, COATED
504aed18-f0f3-4c5a-abfa-d572f95efbe9	bef1813f-2218-4e6c-bbd5-bfe5a5e4e826	1	CAPSULE	CAPSULE
3cbeef49-fcb7-437a-9205-d161deb8347b	ddc9d0c3-a5c8-4707-a6e5-98dec0129ec9	1	TABLET	TABLET
b8e293d3-bcfa-473f-9cbc-f8146385b8c7	7f6b875f-74d9-4ce6-b471-58b5d9423474	1	TABLET	TABLET
5773f331-72e8-4df1-a8d9-7e0c7b8b24c0	7902acdc-ac11-4a7a-8a4b-67bfd0725956	1	TABLET	TABLET
899854f1-40b9-41dc-8a0e-0c008e0a7ad3	5ecac98d-6476-4ddd-9eed-a3fcf7e874e3	1	TABLET	TABLET
e02e144f-f016-45c0-bc76-04ebbee58a78	07092513-d81b-4255-a874-9b67d3eb6e47	1	TABLET	TABLET
aa8aa530-655d-4856-b186-81350a64b733	567e1557-e0a2-4915-8028-f86ee0ba9cc2	1	TABLET	TABLET
38f32aa2-5e7a-4cd5-a4fc-f1a3515e85d4	7cf0f042-0128-4f1d-b993-691c76357429	1	ML	INJECTABLE
9b2893d7-5985-4815-aa90-b14b89dcf896	98ccf23f-2bee-4fd7-a009-2b17ad771eb0	1	TABLET	TABLET
36354353-a0e7-475b-b8f2-253b4019f445	3a1e125f-6518-4214-ae8c-29561778e1c7	1	TABLET	TABLET
6322f86c-0f10-492c-a3a5-ee8152406041	75d44a01-ba87-4edb-b338-026c66096206	1	TABLET	TABLET
f0f3d0bb-6ff4-46e6-b43d-e5c25fce4086	7d45b14e-b6b2-4978-b551-26704d9d9e67	1	TABLET	TABLET
